date,open,high,low,close,volume
2005/10/12,10766.8,10768.4,10690.8,10721.8,148341000
2005/10/13,10689.4,10735.4,10567.1,10567.1,205297000
2005/10/14,10645.5,10645.5,10513,10629.3,182493000
2005/10/17,10646.7,10678.9,10615.4,10629.5,140334000
2005/10/18,10633.3,10663.9,10521.6,10529.9,140174000
2005/10/19,10452.2,10454.5,10356.5,10402.5,227988000
2005/10/20,10469.5,10512.7,10351,10382.3,189767000
2005/10/21,10343.8,10409.8,10326,10368.8,150341000
2005/10/24,10359.1,10534.5,10347.1,10534.5,184704000
2005/10/25,10558,10562.7,10464.4,10476.6,229000000
2005/10/26,10470.5,10544.5,10435.2,10473.4,187619000
2005/10/27,10409.5,10424.6,10327.4,10328.6,177351000
2005/10/28,10327.7,10362.4,10256,10339.5,173274000
2005/10/31,10417.2,10493.8,10412.9,10493.8,250169000
2005/11/01,10469.4,10485.6,10415.1,10427.2,176241000
2005/11/02,10432.4,10469.9,10336.1,10424.5,236306000
2005/11/03,10467.9,10500.4,10432.6,10476.9,290358000
2005/11/04,10479.2,10486.7,10389.2,10412.3,218653000
2005/11/07,10406.2,10455.6,10362,10420.9,160872000
2005/11/08,10440.7,10483.2,10410.4,10440.2,167907000
2005/11/09,10434.1,10475.9,10428.1,10456.3,123832000
2005/11/10,10484.9,10491.2,10407.6,10438.4,164870000
2005/11/11,10491.4,10518.9,10471.4,10510.3,165798000
2005/11/14,10490.7,10561.7,10473.8,10504.6,157770000
2005/11/15,10489.6,10508.2,10413,10456.3,187392000
2005/11/16,10453.5,10455.5,10338.7,10391.7,192332000
2005/11/17,10430.9,10468.4,10421.1,10445.2,149394000
2005/11/18,10502.3,10577.3,10485.9,10527.1,160946000
2005/11/21,10532.9,10556.9,10498.2,10535.1,132635000
2005/11/22,10557.4,10559.1,10491.7,10522.9,121900000
2005/11/23,10544.6,10631.8,10534.8,10626.7,157002000
2005/11/24,10643,10670.4,10593.4,10634.2,100200000
2005/11/25,10649.3,10672.6,10625,10656.3,97135000
2005/11/28,10677.2,10716.8,10609.6,10618.8,148100000
2005/11/29,10604.2,10657.9,10583,10620.1,120056000
2005/11/30,10596.8,10604.2,10540.5,10557.8,136861000
2005/12/01,10580,10678.7,10580,10678.7,135264000
2005/12/02,10692.2,10699.5,10611.8,10649.8,124799000
2005/12/05,10669,10669,10495.5,10532.1,158634000
2005/12/06,10538.8,10562.3,10501.4,10539.3,96821000
2005/12/07,10553.9,10555.6,10479,10506.6,156588000
2005/12/08,10437,10495.8,10423.9,10495.8,109519000
2005/12/09,10453.3,10501.1,10438.3,10489.3,96865000
2005/12/12,10521.7,10587.9,10500,10540,112182000
2005/12/13,10544,10561.8,10501.9,10533.6,117078000
2005/12/14,10559.6,10572.4,10484.8,10502.4,151340000
2005/12/15,10509.4,10517.6,10450.6,10483.5,205190000
2005/12/16,10488.4,10602.1,10462.8,10555.3,281353000
2005/12/19,10549.6,10587,10514.1,10528.3,143973000
2005/12/20,10513.5,10584.4,10495.9,10572.3,152964000
2005/12/21,10578.5,10694.7,10576.2,10682.7,153610000
2005/12/22,10675.8,10717.2,10668.5,10701.3,111593000
2005/12/23,10725.8,10753.3,10704.2,10723.9,87249000
2005/12/27,10718.3,10791.5,10716.1,10772.7,81768000
2005/12/28,10747.2,10781.4,10741.8,10769.5,66891000
2005/12/29,10787.4,10811.9,10765.2,10778.1,72621000
2005/12/30,10767.8,10771.4,10696.9,10733.9,90798000
2006/01/02,10725.8,10814.6,10720,10786.7,63165000
2006/01/03,10794.1,10839.3,10769.3,10818.1,127109000
2006/01/04,10869.3,10898.9,10830.9,10895.8,199350000
2006/01/05,10907.3,10929.6,10883.3,10913.6,127147000
2006/01/09,10943.1,10966.1,10928.1,10962.5,208100000
2006/01/10,10932.1,10935.1,10869.9,10869.9,137368000
2006/01/11,10909.3,10966.2,10908.8,10966.2,163341000
2006/01/12,10935,10969.4,10925.7,10955.8,203881000
2006/01/13,10938.4,10943,10825.5,10850.7,165949000
2006/01/16,10825.9,10905.8,10821.6,10898.4,119004000
2006/01/17,10834.5,10844,10795.1,10806.3,177402000
2006/01/18,10719,10740.7,10674.2,10708.1,174730000
2006/01/19,10764.7,10821.5,10763.4,10821.5,186546000
2006/01/20,10834.1,10872.4,10737.8,10740.9,195448000
2006/01/23,10642.9,10723.3,10611.1,10712.2,171586000
2006/01/24,10728.3,10747.6,10645.5,10665.6,199181000
2006/01/25,10704.1,10824.1,10690.4,10824.1,203296000
2006/01/26,10792.2,10952.6,10788.1,10890.2,295319000
2006/01/27,10944.5,11026.9,10886.3,11023.2,209888000
2006/01/30,11012.4,11051.7,10979.7,11038,152037000
2006/01/31,11025.2,11112.1,11022.8,11104.3,195601000
2006/02/01,11030.5,11221.1,11030.1,11221.1,191620000
2006/02/02,11218.7,11253,11125.7,11136,236159000
2006/02/03,11162,11202.5,11120.7,11175.8,186203000
2006/02/06,11199.8,11217,11164.8,11187.5,179161000
2006/02/07,11195.9,11215.9,11099.1,11175.1,191245000
2006/02/08,11114.1,11209.3,11083.4,11202.6,218908000
2006/02/09,11226.4,11344.9,11222,11344.9,775309000
2006/02/10,11339.1,11366.9,11293.6,11312.6,174562000
2006/02/13,11325.1,11395.5,11281.2,11395.5,132057000
2006/02/14,11389.5,11412.3,11320.4,11395.9,152441000
2006/02/15,11399,11426.1,11366.9,11377.4,173169000
2006/02/16,11410.9,11447.2,11384.1,11447.2,138257000
2006/02/17,11460.7,11501.4,11428.6,11491.3,175707000
2006/02/20,11473.5,11535.6,11456.9,11535.6,115753000
2006/02/21,11564,11657.8,11542,11626.9,252980000
2006/02/22,11619.2,11755.3,11604.8,11755.3,203616000
2006/02/23,11755.2,11785.9,11708.5,11739,173450000
2006/02/24,11753.9,11786.9,11738.7,11786.9,163351000
2006/02/27,11821.1,11832.8,11786.5,11832.8,143064000
2006/02/28,11825.4,11840.1,11691.8,11740.7,210412000
2006/03/01,11764.6,11902.2,11758.1,11902.2,196695000
2006/03/02,11914.4,11918.6,11776.4,11809.6,212197000
2006/03/03,11783.6,11834.8,11725.8,11755.7,168724000
2006/03/06,11765.7,11812.4,11740.8,11759.1,168994000
2006/03/07,11706.2,11714.4,11610.3,11701.3,181534000
2006/03/08,11722.3,11736,11566.8,11629.2,529078000
2006/03/09,11701.5,11727.9,11657.5,11699.6,1370656000
2006/03/10,11642.2,11771.8,11635.3,11771.8,148162000
2006/03/13,11808.7,11854.7,11805.9,11845.4,137013000
2006/03/14,11815.5,11839.7,11773.3,11835,125716000
2006/03/15,11869.4,11884.5,11831.9,11845.7,172159000
2006/03/16,11860.3,11874.4,11804.2,11862.5,261076000
2006/03/17,11877.4,11949.6,11835.3,11872.9,937243000
2006/03/20,11909.3,11962.8,11896.6,11922,97088000
2006/03/21,11944.6,11944.6,11857.8,11933.4,549451000
2006/03/22,11876.2,11959.3,11860,11951.6,167782000
2006/03/23,11957.5,11970,11880.4,11906.2,140332000
2006/03/24,11908.5,11954.4,11895.3,11954.4,136902000
2006/03/27,11939.5,11954.1,11839.1,11839.6,115004000
2006/03/28,11855.4,11870.5,11754.1,11774.2,156112000
2006/03/29,11773.1,11839.8,11753.9,11817.3,180618000
2006/03/30,11870.2,11884,11805.2,11869.8,154267000
2006/03/31,11856.2,11871.6,11779.2,11854.3,145693000
2006/04/03,11923.5,11958.6,11901.8,11920,143617000
2006/04/04,11892.6,11893.8,11829.8,11893.8,147563000
2006/04/05,11888.2,11916.4,11839.8,11916.4,150569000
2006/04/06,11938.6,11944,11883.6,11908.2,164695000
2006/04/07,11903.4,11922,11807.7,11816.7,135623000
2006/04/10,11792.4,11817.5,11764.4,11817.5,96504000
2006/04/11,11796.7,11822.2,11657.1,11674.6,165261000
2006/04/12,11666.9,11667.9,11567.6,11601.7,174424000
2006/04/13,11604.5,11645.3,11564.2,11609.4,75094000
2006/04/18,11589.4,11626.3,11552.1,11585,169351000
2006/04/19,11671.7,11721.3,11659.8,11720.1,178060000
2006/04/20,11720.1,11814.2,11716.3,11782.6,153003000
2006/04/21,11819.9,11913.8,11806.1,11913.8,156320000
2006/04/24,11884.4,11955.8,11856.6,11901.3,144825000
2006/04/25,11889.8,11975.5,11878.6,11920.5,155869000
2006/04/26,11940.8,11958.1,11886.9,11925.6,125648000
2006/04/27,11944.9,11946.2,11825.3,11891.3,153150000
2006/04/28,11876.2,11913.9,11812.9,11892.5,177838000
2006/05/02,11843.3,11929.3,11835.9,11929.3,134082000
2006/05/03,11939.5,11956.9,11858.4,11876.5,173847000
2006/05/04,11901.1,11934.8,11851.6,11928.5,165744000
2006/05/05,11935.2,12034.4,11922.3,12034.4,131646000
2006/05/08,12070.5,12087.2,12031.5,12067.7,135585000
2006/05/09,12073.1,12096.2,12042.5,12083.3,180227000
2006/05/10,12057.3,12085.5,12046.6,12064.8,224336000
2006/05/11,12052.2,12106,11998.1,12008.4,175947000
2006/05/12,11919.1,11931.8,11710.2,11710.2,229658000
2006/05/15,11661.3,11673.1,11517.9,11587.7,207406000
2006/05/16,11567.1,11637.1,11553.9,11595.9,196666000
2006/05/17,11615.3,11636.1,11248.2,11248.2,208758000
2006/05/18,11241.4,11332.1,11069.1,11210.3,258606000
2006/05/19,11197.2,11294.2,11173.7,11270.8,183058000
2006/05/22,11246.6,11248,10918.3,10950.2,266409000
